,context,question,answer,source_doc
36,"increases insurers' ability to provide insurance protection by transferring the risk to bond investors. Commercial banks and other lenders have been securitizing mortgages for years, freeing up capital to expand their mortgage business. Insurers and reinsurers issue catastrophe bonds to the securities market through an issuer known as a special purpose reinsurance vehicle (SPRV) set up specifically for this purpose. These bonds have complicated structures and are typically created offshore where tax and regulatory treatment may be more favorable. SPRVs collect the premium from the insurance or reinsurance company and the principal from investors and hold them in a trust in the form of U.S. Treasuries or other highly rated assets, using the investment income to pay interest on the principal. Catastrophe bonds pay high interest rates but if the trigger event occurs, investors lose the interest and sometimes the principal, depending on the structure of the bond, both of which may be used to cover the insurer's disaster losses. Bonds may be issued for a one-year term or multiple years, often three.","How do catastrophe bonds work, and what are the risks and benefits for investors and insurers?","Catastrophe bonds transfer risk from insurers to investors. Insurers pay premiums, and investors receive high interest but risk losing principal if a disaster occurs.  Bonds are often issued through SPRVs offshore for tax advantages.",Insurance_Handbook_20103
37,"The price an insurance company charges for coverage, based on the frequency and cost of potential accidents, theft and other losses. Prices vary from company to company, as with any product or service. Premiums also vary depending on the amount and type of coverage purchased; the make and model of the car; and the insured's driving record, years of driving and the number of miles the car is driven per year. Other factors taken into account include the driver's age and gender, where the car is most likely to be driven and the times of day-rush hour in an urban neighborhood or leisure time driving in rural areas, for example. Some insurance companies may also use credit history related information. ( See Insurance score)",What factors influence the price of car insurance premiums?,"Factors influencing car insurance premiums include coverage amount, car make and model, driver's record, driving experience, annual mileage, age, gender, driving location and times, and credit history.",Insurance_Handbook_20103
38,"Assessing Risk: To underwrite terrorism insurance-to decide whether to offer coverage and what price to charge-insurers must be able to quantify the risk: the likelihood of an event and the amount of damage it would cause. Increasingly, they are using sophisticated modeling tools to assess this risk. According to the modeling firm, AIR Worldwide, the way terrorism risk is measured is not much different from assessments of natural disaster risk, except that the data used for terrorism are more subject to uncertainty. It is easier to project the risk of damage in a particular location from an earthquake of a given intensity or a Category 5 hurricane than a terrorist attack because insurers have had so much more experience with natural disasters than with terrorist attacks and therefore the data to incorporate into models are readily available.","How do insurance companies assess terrorism risk, and what are the challenges in this assessment compared to natural disaster risk assessment?","Insurance companies use sophisticated modeling tools to quantify the likelihood and potential damage of a terrorist event.  The main challenge compared to natural disaster risk assessment is the greater uncertainty in data available for terrorism, due to less historical experience.",Insurance_Handbook_20103
39,"risk-that it is uninsurable-but unlike the insurance industry, the President's Working Group said that the existence of TRIA has negatively affected the development of a more robust market for terrorism insurance, a point on which the industry disagrees. TRIA is the reason that coverage is available, insurers say. The structure of the program has encouraged the development of reinsurance for the layers of risk that insurers must bear themselves-deductible amounts and coinsurance-which in turn allows primary insurers to provide coverage.","How has the Terrorism Risk Insurance Act (TRIA) affected the market for terrorism insurance, and what are the differing viewpoints on its impact?","TRIA's existence has negatively affected the development of a robust terrorism insurance market, according to the President's Working Group, but insurers contend it is the reason coverage is available.  The program has encouraged reinsurance for insurer-borne risks (deductibles, coinsurance), enabling primary coverage.",Insurance_Handbook_20103
40,"The loss of a key person can be a major blow to a small business if that person is the founder of the business or is the key contact for customers and suppliers and the management of the business. Loss of the key person may also make the running of the business less efficient and result in a loss of capital. Losses caused by the death of a key employee are insurable. Such policies compensate the business against significant losses that result from that person's death or disability. The amount and cost of insurance needed for a particular business depends on the situation and the age, health and role of the key employee. Key employee life insurance pays a death benefit to the company when the key employee dies. The policy is normally owned by the company, which pays the premiums and is the beneficiary. The monies from key person insurance can be used to buy back shares in a company from the estate of the deceased, pay a head hunting firm to find a suitable replacement and cover costs or expenses while the business adjusts to the loss.",How can businesses mitigate the financial risks associated with the loss of a key employee?,"Businesses can mitigate these risks through key employee life insurance, which compensates for losses resulting from the death or disability of a key employee.  The payout can be used for various purposes, such as share buybacks, recruiting a replacement, and covering operational expenses during the transition.",Insurance_Handbook_20103
41,"How It Works: The NFIP is administered by FEMA, now part of the Department of Homeland Security. Flood insurance was initially only available through insurance agents who dealt directly with the federal program. The 'direct' policy program has been supplemented since 1983 with a private/public cooperative arrangement, known as 'Write Your Own,' through which a pool of insurance companies issue policies and adjust flood claims on behalf of the federal government under their own names, charging the same premium as the direct program. Participating insurers receive an expense allowance for policies written and claims processed. The federal government retains responsibility for underwriting losses. Today, most policies are issued through the Write-YourOwn program but some nonfederally backed coverage is available from the private market.","How does the National Flood Insurance Program (NFIP) function, and what are the roles of FEMA and private insurers?",The NFIP is administered by FEMA and offers flood insurance through two programs: a direct program and a Write Your Own (WYO) program.  The WYO program involves private insurers issuing policies and handling claims on behalf of the federal government. The federal government underwrites losses.,Insurance_Handbook_20103
42,"Directors and officers liability insurance (D&O) covers directors and officers of a company for negligent acts or omissions and for misleading statements that result in suits against the company. There are a variety of D&O coverages. Corporate reimbursement coverage indemnifies directors and officers of the organization. Side-A coverage provides D&O coverage for personal liability when directors and officers are not indemnified by the firm. Entity coverage, for claims made specifically against the company, is also available. D&O policies may be broadened to include coverage for employment practices liability.",What are the different types of coverage offered by directors and officers liability insurance (D&O)?,"D&O insurance offers corporate reimbursement, Side-A (personal liability when not indemnified by the firm), and entity coverage (for claims against the company).  Some policies may also include employment practices liability coverage.",Insurance_Handbook_20103
43,"Insurance bought by insurers. A reinsurer assumes part of the risk and part of the premium originally taken by the insurer, known as the primary company. Reinsurance effectively increases an insurer's capital and therefore its capacity to sell more coverage. The business is global and some of the largest reinsurers are based abroad. Reinsurers have their own reinsurers, called retrocessionaires. Reinsurers don't pay policyholder claims. Instead, they reimburse insurers for claims paid. ( See Treaty reinsurance; Facultative reinsurance)",What is reinsurance and how does it affect an insurer's capacity?,"Reinsurance is when a reinsurer takes on some of the risk and premium of an insurer, increasing the insurer's capital and ability to sell more coverage.",Insurance_Handbook_20103
44,"Insurers are required to use statutory accounting principles (SAP) when filing annual financial reports with state regulators and the Internal Revenue Service. SAP, which evolved to enhance the industry's financial stability, is more conservative than the generally accepted accounting principles (GAAP), established by the independent Financial Accounting Standards Board (FASB). The Securities and Exchange Commission (SEC) requires publicly owned companies to report their financial results using GAAP rules. Insurers outside the United States use standards that differ from SAP and GAAP. As global markets developed, the need for more uniform accounting standards became clear. In 2001 the International Accounting Standards Board (IASB), an independent international accounting standards setting organization, began work on a set of standards, called International Financial Reporting Standards (IFRS) that it hopes will be used around the world. Since 2001 over 100 countries have required or permitted the use of IFRS.","What accounting principles are insurers required to use for their annual financial reports, and how do these principles compare to GAAP and IFRS?","Insurers must use statutory accounting principles (SAP), which are more conservative than generally accepted accounting principles (GAAP) used by publicly owned companies.  International Financial Reporting Standards (IFRS) are used globally, differing from both SAP and GAAP.",Insurance_Handbook_20103
45,"A number of alternative risk transfer (ART) products, such as insurance-linked securities and weather derivatives have developed to meet the financial risk transfer needs of businesses. One such product, catastrophe (cat) bonds, riskbased securities sold via the capital markets, developed in the wake of hurricanes Andrew and Iniki in 1992 and the Northridge earthquake in 1994-megacatastrophes that resulted in a global shortage of reinsurance (insurance for insurers) for such disasters. Tapping into the capital markets allowed insurers to diversify their risk and expand the amount of insurance available in catastrophe-prone areas. Zurich Financial's Kamp Re was the first major catastrophe bond to be triggered. The $190 million bond was triggered by 2005's Hurricane Katrina, and resulted in a total loss of principal. Catastrophe bonds are now a multibillion dollar industry.","What event triggered the first major catastrophe bond, Kamp Re, resulting in a total loss of principal, and what was the value of that bond?","Hurricane Katrina in 2005 triggered Zurich Financial's Kamp Re, resulting in a total loss of the $190 million bond.",Insurance_Handbook_20103
46,"Size of the Auto Insurance Market: Together, residual market programs insured about 1.97 million cars in 2007, about 1.06 percent of the total market and a 9.0 percent drop from 2006, according to the Automobile Insurance Plans Service Office, which tracks such data. In 1990 the residual market served 6.3 percent of the total market. In 2007, in a major change from much of the 1990s, only one state, North Carolina, had more than a million cars insured through the residual market. At 1.5 million, the pool insured more than 21.6 percent of the state's total insured vehicles. In South Carolina, which enacted sweeping reforms in 1998, the residual market dropped from 38 percent of all insured cars in 1996 to close to zero in 2007.","What percentage of the total auto insurance market did residual market programs insure in 2007, and how does this compare to the percentage in 1990?","In 2007, residual market programs insured about 1.06 percent of the total auto insurance market, compared to 6.3 percent in 1990.",Insurance_Handbook_20103
47,"Why Insurers Need It: Insurers need to be able to assess the risk of loss-the possibility that a driver or a homeowner will have an accident and file a claimin order to decide whether to insure that individual and what rate to set for the coverage provided. The more accurate the information, the closer the insurance company can come to making appropriate decisions. Where information is insufficient, applicants for insurance may be placed in the wrong risk classification. That means that some good drivers will pay more than they should for coverage and some bad drivers will pay less than they should. The insurance company will probably collect enough premiums between the two groups to pay claims and expenses, but the good drivers will be subsidizing the bad.","Why do insurers need accurate information when assessing risk, and what are the consequences of insufficient information?","Insurers need accurate information to assess risk and set appropriate insurance rates. Insufficient information leads to misclassification, causing good drivers to overpay and bad drivers to underpay, although the insurer will likely still cover claims.",Insurance_Handbook_20103
48,"In the 1950s and 1960s cycles were regular, with a three-year period of soft pricing followed by a three-year period of hard pricing in practically all lines of property/casualty insurance. In the 1970s and 1980s, there were only two cycles, one mainly affecting auto insurance in the mid-1970s and the other in the mid-1980s, affecting commercial liability insurance. The commercial liability insurance cycle gave rise to the 'liability crisis,' when certain types of commercial liability coverages, such as insurance for daycare centers, municipalities, ski resorts and any establishment selling liquor, became difficult to obtain. Since that time, with the exception of the difficulty in obtaining medical malpractice insurance in the early part of the last decade, the insurance cycle has had less of an impact on the public.","How did the patterns of property/casualty insurance pricing cycles change between the 1950s-1960s and the 1970s-1980s, and what crisis emerged as a result?","In the 1950s-60s, insurance pricing followed regular three-year cycles of soft and hard pricing.  The 1970s-80s saw fewer, shorter cycles, with one impacting auto insurance in the mid-70s and another affecting commercial liability insurance in the mid-80s. The latter led to the 'liability crisis,' making certain liability coverages hard to obtain.",Insurance_Handbook_20103
49,"The Workers Compensation Social Contract: The industrial expansion that took place in the United States during the 19th century was accompanied by a significant increase in workplace accidents. At that time, the only way injured workers could obtain compensation was to sue their employers for negligence. Proving negligence was a costly, time-consuming effort, and often the court ruled in favor of the employer. But by the early 1900s, a state-by-state pattern of legislative proposals designed to compensate injured workers had begun to emerge.","What was the primary method for injured workers to receive compensation before the early 1900s, and what were the challenges associated with this method?","Before the early 1900s, injured workers could only sue their employers for negligence.  This was costly, time-consuming, and often unsuccessful.",Insurance_Handbook_20103
50,"The Northridge earthquake, which struck Southern California on January 17, 1994, was the most costly quake in U.S. history, causing an estimated $20 billion in total property damage, including $12.5 billion in insured losses. In its wake the California Earthquake Authority (CEA) was created in 1996. Fearing insolvency from another massive earthquake, the vast majority of insurers in the state's homeowners insurance market had severely restricted or ceased writing coverage altogether after Northridge. To ensure the availability of homeowners coverage and end a serious threat to the vitality of the state's housing market, the California Legislature established the CEA as a publicly managed, largely privately funded entity.","What was the impact of the 1994 Northridge earthquake on the California homeowners insurance market, and what was the response from the state government?","The Northridge earthquake caused $20 billion in property damage, leading insurers to restrict or cease coverage.  In response, California created the California Earthquake Authority (CEA) to ensure homeowners insurance availability.",Insurance_Handbook_20103
51,The goal of every insurance company is to correlate rates for insurance policies as closely as possible with the actual cost of claims. If insurers set rates too high they will lose market share to competitors who have more accurately matched rates to expected costs. If they set rates too low they will lose money. This continuous search for accuracy is good for consumers as well as insurance companies. The majority of consumers benefit because they are not subsidizing people who are worse insurance risks-people who are more likely to file claims than they are.,"What is the primary goal of insurance companies regarding policy rates, and what are the consequences of setting rates too high or too low?","The primary goal is to closely correlate rates with the actual cost of claims. Setting rates too high leads to market share loss, while setting them too low results in financial losses for the company.",Insurance_Handbook_20103
52,"Many insurance companies are committed to reducing their own total greenhouse gas emissions and offsetting the remainder through contributions to reforestation and renewable energy projects. They also encourage their employees to adopt 'green' policies in their private lives. Some were involved in projects to reduce greenhouse gases even before such efforts gained widespread public attention, and many are now reinforcing their policyholders' desire to reduce their carbon footprints by offering them paperless billing and documentation. Some have upgraded the quality of their Web sites to encourage policyholders to transact business electronically. At least one auto insurer sells policies exclusively online.",What strategies do insurance companies use to reduce their environmental impact and encourage eco-friendly practices among their employees and policyholders?,"Many insurance companies are reducing their greenhouse gas emissions, offsetting remaining emissions through reforestation and renewable energy, encouraging employees' green policies, offering paperless billing, improving websites for electronic transactions, and some even operate exclusively online.",Insurance_Handbook_20103
53,"The first of the residual market mechanisms for automobile coverage was established in New Hampshire in 1938. As states began to pass laws requiring drivers to furnish proof of insurance, having auto liability insurance became a prerequisite for driving a car. Today, all 50 states and the District of Columbia use one of four systems to guarantee that auto insurance is available to those who need it. All four systems are commonly known as assigned risk plans, although the term technically applies only to the first type of plan, where each insurer is required to assume its share of residual market policyholders or 'risks.' (The","What was the first state to establish a residual market mechanism for automobile coverage, and what year was it established?",New Hampshire established the first residual market mechanism for automobile coverage in 1938.,Insurance_Handbook_20103
54,"Earthquakes in the United States are not covered under standard homeowners or business insurance policies. Coverage is usually available for earthquake damage in the form of an endorsement to a home or business insurance policy. However, insurers that do not sell earthquake insurance may still be impacted by these catastrophes due to losses from fire following a quake. These losses could involve claims for business interruption and additional living expenses as well. Cars and other vehicles are covered for earthquake damage under the comprehensive part of the auto insurance policy.","What types of insurance policies typically cover earthquake damage in the United States, and what are some potential indirect impacts on insurers?","Earthquake damage is not covered under standard homeowners or business insurance policies, but coverage can be added as an endorsement. Insurers may still face losses from fire and related claims following a quake, even if they don't offer earthquake insurance.",Insurance_Handbook_20103
55,"The typical homeowners insurance policy covers damage from a fire, windstorms, hail, riots and explosions-as well as other types of loss such as theft and the cost of living elsewhere while the structure is being repaired or rebuilt after being damaged. Commercial property insurance policies generally cover the same causes of loss with some variation, depending on the coverages selected. Flood and earthquake damage are excluded under homeowners policies-separate policies are available-but are covered under the comprehensive portion of the standard auto policy, which more than 75 percent of drivers who buy auto liability insurance purchase.","What are the typical coverages of homeowners and commercial property insurance policies, and what events are usually excluded?","Homeowners insurance typically covers fire, windstorms, hail, riots, explosions, theft, and living expenses during repairs. Commercial policies are similar but may vary. Flood and earthquake damage are usually excluded from both, requiring separate policies.",Insurance_Handbook_20103
56,"Prior Approval: The insurer must file rates, rules, etc. with state regulators. Depending on the statute, the filing becomes effective when a specified waiting period elapses (if the state regulator does not take specific action on the filing, it is deemed approved automatically) or the state regulator formally approves the filing. A state regulator may disapprove a filing at any time if it is not in compliance with the law. The state regulator normally must hold a hearing to establish noncompliance.","How do state regulators handle insurer filings for rates and rules, and what happens if a filing is not compliant?","Insurers must file with state regulators, who either automatically approve after a waiting period or formally approve/disapprove. Non-compliant filings may be disapproved after a hearing.",Insurance_Handbook_20103
57,"There have been four catastrophes that fall into the megacatastrophe category, greatly exceeding the $25 million threshold. The first two, Hurricane Andrew (1992) and the Northridge earthquake (1994), were both watershed events in that they were far more destructive than most experts had predicted a disaster of this type would be. The third, the terrorist attack on the World Trade Center in 2001, altered insurers' attitudes about man-made risks worldwide. Hurricane Katrina (2005), the fourth catastrophe, is not only the most expensive natural disaster on record but also an event that intensified discussion nationwide about the way disasters, natural and man-made, are managed. It also focused attention on the federal flood insurance program, see the topic on Flood Insurance.","What are the four megacatastrophes mentioned, and what significant impact did each have?","The four megacatastrophes are Hurricane Andrew (1992), the Northridge earthquake (1994), the 2001 World Trade Center attack, and Hurricane Katrina (2005).  Each significantly exceeded the $25 million threshold and impacted disaster prediction, risk assessment, and disaster management approaches.",Insurance_Handbook_20103
58,"The number produced by an analysis of an individual's credit history. The use of credit information affects all consumers in many ways, including getting a job, finding a place to live, securing a loan, getting telephone service and buying insurance. Credit history is routinely reviewed by insurers before issuing a commercial policy because businesses in poor financial condition tend to cut back on safety, which can lead to more accidents and more claims. Auto and home insurers may use information in a credit history to produce an insurance score. Insurance scores may be used in underwriting and rating insurance policies. ( See Insurance score)",How does credit history affect insurance underwriting and rating?,"Insurers review credit history to assess risk; poor financial condition may indicate higher risk of accidents and claims, leading to the use of credit-based insurance scores in policy underwriting and rating.",Insurance_Handbook_20103
59,"Applicants who are considered 'high risk' may have difficulty obtaining insurance through the regular 'voluntary' market channels. (The term 'high risk' applies to individuals or individual businesses with a poor loss record due to inadequate safety measures; certain kinds of businesses or professions where the nature of the work is hazardous or where the risk of lawsuits is high; and specific locations where the risk of theft, vandalism or severe storm damage is substantial.) To make basic coverage more readily available to everyone who wants or needs insurance, special insurance plans have been set up by state regulators working with the insurance industry.",Why might some applicants find it difficult to obtain insurance through traditional channels?,"Applicants deemed 'high risk' due to factors like poor loss history, hazardous occupations, or high-risk locations may struggle to secure insurance through the standard voluntary market.",Insurance_Handbook_20103
60,"The mechanism by which solvent insurers ensure that some of the policyholder and third-party claims against insurance companies that fail are paid. Such funds are required in all 50 states, the District of Columbia and Puerto Rico, but the type and amount of claim covered by the fund varies from state to state. Some states pay policyholders' unearned premiums-the portion of the premium for which no coverage was provided because the company was insolvent. Some have deductibles. Most states have no limits on workers compensation payments. Guaranty funds are supported by assessments on insurers doing business in the state.","How do solvent insurers ensure payment of policyholder and third-party claims against insolvent insurance companies, and how does this vary among states?","Solvent insurers use guaranty funds supported by assessments.  These funds cover varying claims (unearned premiums, workers' compensation etc.) with differing deductibles and limits depending on the state.",Insurance_Handbook_20103
61,"In July 2009 Virginia Tech Transportation Institute released a study showing that the risk of texting while driving is far greater than previous estimates showed and far exceeds the hazards associated with other driving distractions. Researchers used cameras in the cabs of trucks traveling long distances over a period of 18 months and found that the collision risk became 23 times higher when the drivers were texting. The research also measured the time drivers stopped looking at the road and used their eyes to send or receive texts. Drivers generally spent nearly five seconds looking at their devices before a crash or near crash, a period long enough for a vehicle to travel more than 100 yards at typical highway speeds.","According to a 2009 Virginia Tech Transportation Institute study, how much more dangerous is texting while driving compared to other distractions, and what was the average time spent looking at a device before a crash?",The study showed that texting while driving is 23 times more dangerous than other distractions. Drivers spent about 5 seconds looking at their device before a crash or near-crash.,Insurance_Handbook_20103
62,"This coverage pays for damage to the policyholder's car resulting from a collision with another car, an object or as a result of flipping over. It also covers damage caused by potholes. Collision coverage is generally sold with a deductible of $250 to $1,000-the higher the deductible, the lower the premium. Even if policyholders are at fault for an accident, collision coverage will reimburse them for the costs of repairing the car, minus the deductible. If the policyholder is not at fault, the insurance company may try to recover the amount it paid from the other driver's insurance company, a process known as subrogation. If the company is successful, policyholders will also be reimbursed for the deductible.","What are the typical deductibles for collision coverage, and what happens if the policyholder is at fault for an accident?","Collision coverage deductibles typically range from $250 to $1,000.  Even if at fault, the policyholder is reimbursed for repair costs minus the deductible; the insurer may attempt subrogation to recover costs from the other driver's insurance.",Insurance_Handbook_20103
63,"While the regulatory processes in each state vary, three principles guide every state's rate regulation system: that rates be adequate (to maintain insurance company solvency), but not excessive (not so high as to lead to exorbitant profits), nor unfairly discriminatory (price differences must reflect expected claim and expense differences). Recently, in auto and home insurance, the twin issues of availability and affordability, which are not explicitly included in the guiding principles, have been assuming greater importance in regulatory decisions.","What three principles guide each state's insurance rate regulation system, and what recent issues have gained importance in regulatory decisions?","The three principles are: rates must be adequate, not excessive, and not unfairly discriminatory.  Recently, availability and affordability have gained importance.",Insurance_Handbook_20103
64,"Another criticism of the NFIP is that it does not charge enough for coverage. Among the reasons for the premium shortfall is that the cost of coverage on dwellings that were built before floodplain management regulations were established in their communities is subsidized. As a result, the premiums paid for flood coverage by the owners of these properties reflect only 30 to 40 percent of the true risk of loss. In January 2006 FEMA estimated an annual shortfall in premium income of $750 million due to these subsidies. Some subsidized properties also suffer repetitive losses. Repetitive loss properties accounted for about $4.6 billion in claims payments between 1978 and 2004. The AIR report acknowledged that the current system is not eliminating existing damage-prone buildings as quickly as expected.","What are some criticisms of the National Flood Insurance Program (NFIP), and what evidence supports these criticisms?","One criticism is that the NFIP's premiums are insufficient due to subsidies for pre-regulation properties, leading to a shortfall (e.g., \$750 million in 2006).  Another is that subsidized properties experience repetitive losses, totaling \$4.6 billion in claims between 1978 and 2004.  The program isn't eliminating damage-prone buildings quickly enough.",Insurance_Handbook_20103
65,"FAIR Plans: Thirty-two states and the District of Columbia currently have property insurance plans known as FAIR, an acronym for Fair Access to Insurance Requirements Plans. The concept of FAIR Plans was established following passage by Congress of the Housing and Urban Development Act of 1968, a measure designed to address the conditions that led to the 1967 urban riots. This legislation made federal riot reinsurance available to those states that instituted such property insurance pools. One of the plans, Arkansas' Rural Risk Plan, was created in 1988 to provide a market for property insurance in rural areas where fire protection is poor or nonexistent. Mississippi's Rural Plan, which offered fire, extended coverage and vandalism, see below, was expanded to cover the entire state in 2003. (The state's windstorm pool offers wind and hail coverage in coastal counties to the Plan's policyholders.) Georgia's FAIR Plan also provides windstorm and hail coverage in coastal counties as do Plans in Massachusetts and New York. In most states where FAIR Plans are in operation, they are mandatory.","What was the primary motivation behind the creation of FAIR Plans, and provide an example of a plan addressing a specific geographic need?","FAIR Plans were created in response to the 1967 urban riots to address property insurance issues.  The Arkansas Rural Risk Plan, established in 1988, is an example addressing property insurance needs in rural areas with poor fire protection.",Insurance_Handbook_20103
66,"In the case of traditional whole life, both the death benefit and the premium are designed to stay the same (level) throughout the life of the policy. The cost per $1,000 of benefit increases as the insured person ages, and it obviously gets very high when the insured lives to 80 and beyond. The insurance company keeps the premium level by charging a premium that, in the early years, is higher than what is needed to pay claims, investing that money, and then using it to supplement the level premium to help pay the cost of life insurance for older people.",How do traditional whole life insurance policies maintain a level death benefit and premium throughout the policy's life?,"They charge a higher premium in the early years than needed, invest the excess, and use the investment returns to supplement premiums in later years when costs increase.",Insurance_Handbook_20103
67,"There are currently five Beach and Windstorm Plans: Alabama, Mississippi, South Carolina, North Carolina and Texas. In 2001 there were seven pools, but Florida's windstorm pool merged with the joint underwriting association in 2002 to create a new type of residual market entity, see below. In a similar move in 2003, Louisiana merged its FAIR Plan with its coastal pool. The Plans are mandatory in all of these states with the exception of Alabama. (In addition, hail and windstorm coverage for homes in coastal counties is available through some FAIR Plans, see above and the WindMap in New Jersey.) Windstorm Plans in Mississippi, South Carolina and Texas offer only wind and hail coverage. Plans in Alabama and North Carolina offer coverage for fire as well. In some states, Plan policyholders must buy flood insurance also.","How many Beach and Windstorm Plans were there in 2001, and how has that number changed, and which states mandate participation?",There were seven in 2001; currently there are five.  All states except Alabama mandate participation in these plans.,Insurance_Handbook_20103
68,"Homeowners insurance provides financial protection against disasters. It is a package policy, which means that it covers both damage to property and liability, or legal responsibility, for any injuries and property damage policyholders or their families cause to other people. This includes damage caused by household pets. Damage caused by most disasters is covered but there are exceptions. Standard homeowners policies do not cover flooding, earthquakes or poor maintenance. Flood coverage, however, is available in the form of a separate policy both from the National Flood Insurance Program (NFIP) and from a few private insurers. Earthquake coverage is available either in the form of an endorsement or as a separate policy. Most maintenance-related problems are the homeowners' responsibility.","What are some common exclusions in standard homeowners insurance policies, and what alternative options exist for such coverage?","Standard policies exclude flood and earthquake damage, and usually don't cover damage from poor maintenance.  Flood coverage is available separately through NFIP or private insurers, while earthquake coverage is offered as an endorsement or separate policy.",Insurance_Handbook_20103
69,"There are two ways to reduce the greenhouse gas emissions associated with driving. One is to encourage people to purchase vehicles that emit less carbon dioxide into the environment and get more miles per gallon of gasoline. A number of companies offer discounts to people who drive hybrid vehiclessome believe that people who are socially responsible are also more responsible behind the wheel. The other way is to reward people for driving fewer miles, known as pay-as-you-drive (PAYD) auto insurance. Several insurers have developed technology-based discount programs that provide financial incentives to drive fewer miles. Mileage information comes from a special device. In some, it is linked to the car's odometer and in others it is a wireless sensor that can monitor speed as well as mileage. These programs are offered in a growing number of states. In addition, California and several other states are encouraging the development of PAYD programs.","What are two methods for reducing greenhouse gas emissions from driving, and how do they work?",Two methods are encouraging low-emission vehicles and rewarding drivers for fewer miles driven (PAYD insurance). PAYD uses technology to track mileage and incentivize reduced driving.,Insurance_Handbook_20103
70,"Reinsurance for catastrophic losses. The insurance industry is able to absorb the multibillion dollar losses caused by natural and man-made disasters such as hurricanes, earthquakes and terrorist attacks because losses are spread among thousands of companies including catastrophe reinsurers who operate on a global basis. Insurers' ability and willingness to sell insurance fluctuates with the availability and cost of catastrophe reinsurance. After major disasters, such as Hurricane Andrew and the World Trade Center terrorist attack, the availability of catastrophe reinsurance becomes extremely limited. Claims deplete reinsurers' capital and, as a result, companies are more selective in the type and amount of risks they assume. In addition, with available supply limited, prices for reinsurance rise. This contributes to an overall increase in prices for property insurance.","How does the availability and cost of catastrophe reinsurance affect insurers' ability and willingness to sell insurance, and what happens after major disasters?","Insurers' ability and willingness to sell insurance fluctuates with the availability and cost of catastrophe reinsurance. After major disasters, availability becomes limited, prices rise due to depleted reinsurer capital and increased selectivity, leading to higher property insurance prices.",Insurance_Handbook_20103
71,"When agents or company representatives are unable to obtain auto insurance for an applicant in the voluntary market, they submit the application to the assigned risk plan office. These applications are distributed randomly by the automobile insurance plan to all insurance companies that offer automobile liability coverage in the state in proportion to the amount of their voluntary business. Thus, if on a given day the plan receives 100 applications from agents around the state, a company with 10 percent of that state's regular private passenger automobile insurance business will be assigned 10 of those applicants and will be responsible for all associated losses.",How are auto insurance applications handled when agents cannot find coverage in the voluntary market?,"They're submitted to the assigned risk plan office, distributed proportionally among insurers based on their market share, and the assigned company is responsible for associated losses.",Insurance_Handbook_20103
72,"they have fluctuated. Estimates by John Burton in the Workers Compensation Policy Review, January/February 2008 put workers compensation costs as a percentage of payroll in 2007 at 2.28, up from a 10-year low of 1.92 in 2001. The NCCI estimates that in 2008 employers' workers compensation insurance costs accounted for 1.7 percent of total compensation costs.   However, there is a wide variation in costs among states and industries, so that the highest rated (the inherent riskiest) groups could pay several hundred times that of the lowest rated (safest) groups, as a percentage of payroll. Also taken into account is the firm's own safety record.","What were the estimated workers' compensation costs as a percentage of payroll in 2007 and 2001, and what factors contribute to the variation in costs among states and industries?","In 2007, workers' compensation costs were estimated at 2.28% of payroll, up from a 10-year low of 1.92% in 2001.  Variation in costs is significant among states and industries, with the highest-risk groups paying potentially hundreds of times more than the safest groups.  A firm's safety record is also a factor.",Insurance_Handbook_20103
73,"The move to modernize insurance regulation is being driven in part by the globalization of insurance services. Some large U.S. companies that operate in other countries support the concept of a federal system that provides one-stop regulatory approval while others believe the merits of a state system outweigh the virtues of a single national regulator. As a result of discussions about the merits of each system, states are making it easier for insurers to respond quickly to market forces. Since 2009, various pieces of legislation have been introduced in Congress that respond to a number of concerns: lack of an entity at the federal level that can represent insurance interests, particularly in the discussion of international issues; the need for better oversight of systemic risk-the interconnectedness of the risk assumed by a few large financial services companies whose failure could bring down the entire financial system; and the need to streamline the regulation of reinsurers and surplus lines insurers.",What are some of the arguments for and against a federal system of insurance regulation in the US?,"Arguments for a federal system include one-stop regulatory approval, facilitating responses to market forces. Arguments against include concerns that a state system better serves various interests and the potential loss of regulatory oversight.",Insurance_Handbook_20103
74,"The NFIP law was amended in 1969 to provide coverage for mudslides and again in 1973. Until then, the purchase of flood insurance had been voluntary, with only about one million policies in force. The 1973 amendment put constraints on the use of federal funds in high-risk floodplains, a measure that was expected to lead to almost universal flood coverage in these zones. The law prohibits lenders that are federally regulated, supervised or insured by federal agencies from lending money on a property in a floodplain zone when a community is participating in the NFIP, unless the property is covered by flood insurance.","What changes were made to the NFIP law in 1969 and 1973, and what impact did these changes have on flood insurance coverage and federal lending practices?","In 1969, the NFIP was amended to include mudslide coverage.  The 1973 amendment restricted federal funding in high-risk floodplains, intending to make flood insurance nearly universal in those areas and requiring federally regulated lenders to demand flood insurance for properties in participating communities.",Insurance_Handbook_20103
